config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
11,40.22688,1.018294,0.880937,31.081376,14.487193,0.283732,0.583243,55.562744,21.330327,0.352708,3,3,4,2.866245,61.257664,114,69,0.62,0.77,1.23082,0.19515,1.32285,1.1384,0.93043
10,28.331813,1.110731,0.689801,23.347873,31.061663,0.2622,0.336375,23.87791,17.236158,0.410119,1,11,2,7.806472,84.177441,273,196,0.09,0.3467,1.1132,0.09944,1.2177,1.10785,0.91419
6,23.625102,1.096105,0.472868,47.21851,14.260798,0.37529,0.173886,38.191523,8.948511,0.252121,2,5,4,6.472078,76.444127,258,196,0.14,0.3467,1.02116,0.01932,1.23824,1.06342,0.82469
5,21.833771,1.969766,0.28269,25.649783,12.749148,0.21311,0.120866,17.677738,7.101077,0.138575,2,7,2,5.675307,72.730044,273,174,0.09,0.42,0.97943,-0.02894,1.06253,1.18127,0.92178
9,18.747317,0.686902,0.539985,43.136796,12.605166,0.227772,0.269257,22.887431,23.627955,0.335357,1,4,3,3.769373,99.809755,279,216,0.07,0.28,1.0077,-0.0051,1.15926,1.05178,0.86926
2,23.212345,0.932559,0.21243,16.951145,38.063756,0.422111,0.691878,24.676315,8.728556,0.340625,2,11,3,5.044784,74.699895,280,228,0.0667,0.24,1.14931,0.11795,1.2504,0.96749,0.91916
13,19.506919,1.142289,0.221622,16.494325,29.992281,0.616785,0.270892,41.137083,17.846454,0.249047,1,5,8,4.730534,97.955555,288,246,0.04,0.18,1.10897,0.07683,1.35352,0.95792,0.81933
14,37.556942,0.892202,0.443531,18.443254,43.228754,0.201926,0.253875,61.510385,21.651224,0.20896,1,4,4,2.586094,96.821702,292,255,0.0267,0.15,0.91647,-0.07489,1.11746,1.26762,0.82014
4,25.154615,0.769655,0.760289,21.769504,31.550613,0.198468,0.563354,47.986604,9.083203,0.200932,3,10,3,7.160266,91.145089,294,264,0.02,0.12,1.02108,0.01284,1.29536,1.0536,0.78826
16,23.018918,1.013088,0.597262,34.284415,29.26996,0.686355,0.767435,20.10395,23.838518,0.253907,2,4,5,7.201216,62.613152,271,197,0.0967,0.3433,0.97562,-0.01991,1.1006,1.01761,0.88645
15,35.928397,1.170451,0.374664,22.588404,22.825695,0.494624,0.306565,25.207608,7.606633,0.1376,3,7,8,2.344858,81.023228,236,152,0.2133,0.4933,1.32924,0.29218,1.30496,1.30354,1.01861
17,35.780225,1.932244,0.5074,14.049117,26.95851,0.184445,0.777996,39.649536,7.281801,0.435732,3,12,6,2.369079,98.28505,235,138,0.2167,0.54,1.40437,0.33599,1.37942,1.26114,1.01809
20,48.312001,1.145535,0.394787,13.681801,22.199374,0.310185,0.415836,56.822041,24.237236,0.185839,2,12,3,7.193108,94.42357,61,,0.7967,,1.19821,0.16567,,1.11349,
18,27.0934,0.720513,0.383719,31.180024,26.935944,0.251485,0.438308,19.974841,25.969094,0.285338,1,11,7,3.758956,87.624487,275,198,0.0833,0.34,1.03057,0.02911,1.14142,1.05301,0.90288
23,29.919763,0.674431,0.146301,25.211038,17.734772,0.463239,0.132629,24.06346,26.497507,0.474295,2,10,4,7.128474,71.882227,279,215,0.07,0.2833,1.00141,-0.00624,1.15541,0.98624,0.86671
19,16.419757,1.491883,0.421028,30.241294,16.303444,0.53835,0.210955,32.977211,7.954275,0.180318,1,4,4,7.067677,66.688853,284,215,0.0533,0.2833,1.1401,0.11069,1.27764,0.9871,0.89235
24,40.212753,1.222193,0.542994,13.177098,24.797441,0.231028,0.644599,16.359009,12.090809,0.130359,1,4,8,2.173013,73.912572,220,130,0.2667,0.5667,1.03887,0.05627,1.07958,1.14767,0.96229
21,23.44883,1.00537,0.660358,22.701889,19.190283,0.421483,0.309541,20.32543,7.870631,0.497546,3,12,2,6.520653,97.246146,279,206,0.07,0.3133,0.97385,-0.03322,1.05244,1.00626,0.92533
27,21.575163,1.213039,0.397821,46.407311,22.652934,0.404787,0.67088,29.484082,27.694734,0.219724,4,9,7,2.288718,85.049694,275,218,0.0833,0.2733,1.09758,0.0933,1.25768,1.08746,0.8727
31,43.032616,0.686078,0.829777,40.384754,12.714,0.325416,0.378501,18.2045,23.914741,0.345807,3,6,3,6.749742,93.318999,104,,0.6533,,0.95119,-0.02871,,1.35565,
30,17.82798,2.264901,0.597953,27.332263,43.724479,0.456034,0.755305,40.608791,14.914252,0.157719,1,8,3,2.023643,93.734983,288,234,0.04,0.22,1.09674,0.0685,1.3481,1.19719,0.81355
29,33.186512,0.992491,0.551598,13.702578,21.552602,0.440387,0.387224,55.155865,10.88395,0.217941,1,7,5,4.62728,89.577545,290,247,0.0333,0.1767,1.07883,0.06493,1.2465,1.11583,0.86549
26,18.496655,1.20345,0.577555,24.547398,14.936487,0.527645,0.743028,25.192314,13.37671,0.313036,4,12,5,2.778392,73.970607,284,224,0.0533,0.2533,1.10547,0.07784,1.25786,0.95919,0.87885
28,31.615202,0.718756,0.180876,40.266522,11.211276,0.565256,0.748379,27.28092,15.994225,0.301877,4,4,6,2.440378,70.430634,190,93,0.3667,0.69,1.19217,0.18208,1.2107,1.23885,0.98469
33,25.959062,0.892201,0.831312,33.51006,32.430141,0.177591,0.116611,25.555274,8.05735,0.289395,3,12,2,4.021511,69.406065,282,218,0.06,0.2733,1.09956,0.0809,1.22118,1.02306,0.90041
35,31.185757,1.757593,0.812663,36.386264,13.986681,0.58742,0.530122,52.168899,7.606011,0.152198,3,11,8,4.158212,67.746489,89,,0.7033,,1.20504,0.17063,,1.10839,
