model_version,experiment,condition,seed,cond_recover_at,config_id,PERSONALITY_WEIGHT,TRAIT_DRIFT,TRAIT_SATURATION,LANDMARK_BONUS,HARDSHIP_MAX_BOOST,FLOOR_DECAY_PER_DAY,LANDMARK_PERMANENT,GOAL_BONUS,GOAL_OFF_TASK,GOAL_SWITCH_MARGIN,GOAL_MIN_DAYS,GOAL_REFRACTORY,GOAL_STALL_DAYS,GOAL_SLACK_FOOD,GOAL_SLACK_COND,n_move,n_stay,dead_move,dead_stay,ratio_move,logratio_move,ratio_stay,goal_ratio_move,keep
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,5,21.833771,1.969766,0.28269,25.649783,12.749148,0.21311,0.120866,17.677738,7.101077,0.138575,2,7,2,5.675307,72.730044,279,205,0.07,0.3167,1.02048,0.0122,1.13992,1.02248,0.89522
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,10,28.331813,1.110731,0.689801,23.347873,31.061663,0.2622,0.336375,23.87791,17.236158,0.410119,1,11,2,7.806472,84.177441,278,211,0.0733,0.2967,1.21835,0.2019,1.24475,1.07098,0.9788
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,6,23.625102,1.096105,0.472868,47.21851,14.260798,0.37529,0.173886,38.191523,8.948511,0.252121,2,5,4,6.472078,76.444127,267,206,0.11,0.3133,1.10549,0.08307,1.27781,0.95615,0.86515
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,2,23.212345,0.932559,0.21243,16.951145,38.063756,0.422111,0.691878,24.676315,8.728556,0.340625,2,11,3,5.044784,74.699895,287,239,0.0433,0.2033,1.11182,0.0923,1.27229,0.97389,0.87387
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,9,18.747317,0.686902,0.539985,43.136796,12.605166,0.227772,0.269257,22.887431,23.627955,0.335357,1,4,3,3.769373,99.809755,284,242,0.0533,0.1933,1.04278,0.02285,1.22603,1.02041,0.85053
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,4,25.154615,0.769655,0.760289,21.769504,31.550613,0.198468,0.563354,47.986604,9.083203,0.200932,3,10,3,7.160266,91.145089,296,270,0.0133,0.1,0.98718,-0.01143,1.3074,1.07324,0.75507
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,11,40.22688,1.018294,0.880937,31.081376,14.487193,0.283732,0.583243,55.562744,21.330327,0.352708,3,3,4,2.866245,61.257664,161,97,0.4633,0.6767,1.24471,0.21098,1.28548,0.96246,0.96828
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,13,19.506919,1.142289,0.221622,16.494325,29.992281,0.616785,0.270892,41.137083,17.846454,0.249047,1,5,8,4.730534,97.955555,289,254,0.0367,0.1533,1.04975,0.0235,1.3996,1.00592,0.75004
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,15,35.928397,1.170451,0.374664,22.588404,22.825695,0.494624,0.306565,25.207608,7.606633,0.1376,3,7,8,2.344858,81.023228,256,178,0.1467,0.4067,1.27109,0.25957,1.22931,1.12013,1.03399
v3,021-4-param_sweep,transplant(move)+persistence(stay),0,65.0,16,23.018918,1.013088,0.597262,34.284415,29.26996,0.686355,0.767435,20.10395,23.838518,0.253907,2,4,5,7.201216,62.613152,280,221,0.0667,0.2633,1.08088,0.08712,1.18552,0.97146,0.91174
